Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.8,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,Microsoft.AspNetCore.Identity.UI 9.0.8,,,,,"Microsoft.AspNetCore.Identity.UI, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,Microsoft.EntityFrameworkCore.Cosmos 9.0.8,,,,,"Microsoft.EntityFrameworkCore.Cosmos, 9.0.8  Recommendation:  Remove Microsoft.EntityFrameworkCore.Cosmos, and replace with new package Microsoft.EntityFrameworkCore.Cosmos 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.8,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,System.Text.Json 9.0.8,,,,,"System.Text.Json, 9.0.8  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\Stores\CosmosRoleStore.cs,297,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"await Retry.Do(async () => await InternalAddClaimAsync(role, claim, cancellationToken), TimeSpan.FromSeconds(1)).WaitAsync(cancellationToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\Stores\CosmosUserStore.cs,835,16,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"await Retry.Do(async () => await InternalAddClaimAsync(user, claim, cancellationToken), TimeSpan.FromSeconds(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AspNetCore.Identity.CosmosDb\AspNetCore.Identity.CosmosDb.csproj,File,AspNetCore.Identity.CosmosDb\Extensions\ServiceCollectionExtensions.cs,48,12,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"return ServiceCollectionExtensions.AddCosmosIdentity<TDbContext, TUser, TRole, TKey>(services, setupAction, TimeSpan.FromMinutes(5), slidingExpiration: false);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDbCompat.Tests\AspNetCore.Identity.CosmosDbCompat.Tests.csproj,File,AspNetCore.Identity.CosmosDbCompat.Tests\AspNetCore.Identity.CosmosDbCompat.Tests.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 9.0.8,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspNetCore.Identity.CosmosDbCompat.Tests\AspNetCore.Identity.CosmosDbCompat.Tests.csproj,File,AspNetCore.Identity.CosmosDbCompat.Tests\AspNetCore.Identity.CosmosDbCompat.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AspNetCore.Identity.CosmosDbCompat.Tests\AspNetCore.Identity.CosmosDbCompat.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\TestUtilities.cs,47,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"return Retry.Do(() => builder.Build(), TimeSpan.FromSeconds(1));"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.8,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 9.0.8,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,,,System.Text.Json 9.0.8,,,,,"System.Text.Json, 9.0.8  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AspNetCore.Identity.CosmosDbV9.Tests\AspNetCore.Identity.CosmosDbV9.Tests.csproj,File,AspNetCore.Identity.CosmosDbV9.Tests\TestUtilities.cs,47,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"return Retry.Do(() => builder.Build(), TimeSpan.FromSeconds(1));"
